Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Media,Media Real,Diferencia
-178.250,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-177.750,71.250,-23.100,-25.400,-24.200,-17.300,-6.700,0.600,2.400,2.000,-1.300,-8.400,-15.900,-22.100,-11.500,-11.600,0.100
-177.750,68.250,-23.000,-24.600,-21.700,-16.900,-6.400,2.600,5.500,4.500,1.200,-6.600,-14.200,-21.600,-10.000,-10.100,0.100
-177.750,67.750,-22.800,-23.800,-20.200,-16.700,-6.900,2.400,5.600,4.700,1.500,-6.000,-13.300,-21.000,-9.600,-9.700,0.100
-177.750,67.250,-21.500,-22.000,-18.100,-15.400,-6.300,3.100,6.400,5.800,2.500,-4.500,-11.500,-19.400,-8.400,-8.400,0.000
-177.750,66.750,-23.700,-23.400,-20.400,-17.200,-9.000,0.300,4.000,3.600,-0.100,-6.800,-13.900,-21.200,-10.500,-10.600,0.100
-177.750,66.250,-20.300,-19.600,-18.000,-13.300,-5.500,3.300,7.300,7.000,2.600,-4.000,-11.200,-17.500,-7.300,-7.400,0.100
-177.750,65.750,-18.900,-18.500,-17.700,-11.800,-4.100,4.100,8.300,8.200,3.200,-3.300,-10.700,-16.600,-6.400,-6.500,0.100
-177.750,-84.750,-19.300,-27.700,-38.700,-43.400,-44.700,-44.700,-48.400,-48.600,-47.600,-38.800,-27.900,-19.300,-37.400,-37.400,0.000
-177.750,-85.250,-19.400,-28.300,-39.600,-44.100,-45.400,-45.200,-48.700,-48.900,-48.000,-39.300,-28.200,-19.400,-37.900,-37.900,0.000
-177.750,-85.750,-22.600,-32.200,-43.800,-48.100,-49.100,-49.100,-52.200,-52.400,-51.700,-43.000,-31.700,-22.600,-45.700,-41.500,-4.200
-177.750,-86.250,-25.000,-35.200,-47.200,-51.300,-51.900,-52.200,-54.800,-55.100,-54.400,-45.800,-34.400,-24.900,-44.400,-44.400,0.000
-177.750,-86.750,-26.700,-37.600,-49.900,-53.700,-54.300,-54.600,-56.900,-57.100,-56.600,-48.100,-36.400,-26.600,-46.700,-46.500,-0.200
-177.750,-87.250,-27.700,-39.000,-51.700,-55.300,-55.800,-56.200,-58.200,-58.400,-58.000,-49.400,-37.600,-27.700,-48.000,-47.900,-0.100
-177.750,-87.750,-28.400,-40.100,-53.000,-56.500,-56.900,-57.300,-59.200,-59.300,-59.000,-50.500,-38.500,-28.400,-49.000,-48.900,-0.100
-177.750,-88.250,-29.100,-41.100,-54.300,-57.700,-58.100,-58.600,-60.200,-60.200,-60.000,-51.500,-39.300,-29.100,-50.000,-49.900,-0.100
-177.750,-88.750,-29.100,-41.200,-54.600,-58.000,-58.200,-58.800,-60.200,-60.200,-60.100,-51.600,-39.400,-29.000,-50.100,-50.000,-0.100
-177.750,-89.250,-28.400,-40.800,-54.200,-57.600,-57.800,-58.300,-59.700,-59.700,-59.600,-51.200,-38.800,-28.400,-49.600,-49.500,-0.100
-177.750,-89.750,-27.700,-40.200,-53.600,-57.000,-57.200,-57.700,-59.100,-59.100,-59.000,-50.500,-38.100,-27.700,-49.000,-48.900,-0.100
-177.250,67.750,-22.600,-23.600,-19.400,-16.800,-6.900,2.600,5.700,4.800,1.900,-5.600,-12.700,-20.900,-9.400,-9.500,0.100
-177.250,67.250,-22.000,-22.500,-17.600,-16.200,-7.000,2.800,6.100,5.200,2.500,-4.700,-11.600,-20.000,-8.700,-8.800,0.100
-177.250,66.750,-21.100,-21.000,-16.600,-15.000,-6.600,3.100,6.600,6.100,2.900,-3.900,-10.700,-18.800,-7.800,-7.900,0.100
-177.250,66.250,-21.400,-20.900,-18.200,-14.900,-7.000,2.200,6.000,5.600,1.900,-4.700,-11.800,-18.800,-8.400,-8.500,0.100
-177.250,65.750,-19.100,-18.700,-17.300,-12.300,-4.700,3.600,7.800,7.500,3.000,-3.400,-10.500,-16.700,-8.700,-6.700,-2.000
